hispanic,white,black,native,multiple,CENSUS_TRACT,api,tract,state,county
36,2546,6,3,87,37031970103,52,970103,37,031
9,1090,5,0,21,37031970200,00,970200,37,031
142,3650,631,30,186,37031970301,253,970301,37,031
44,1945,152,8,64,37031970304,182,970304,37,031
47,1289,280,0,54,37031970305,72,970305,37,031
244,1335,124,7,78,37031970401,191,970401,37,031
73,953,282,12,73,37031970402,170,970402,37,031
16,995,21,7,27,37031970403,80,970403,37,031
243,1965,223,11,117,37031970501,272,970501,37,031
78,1853,65,5,68,37031970502,65,970502,37,031
99,1692,157,4,90,37031970503,122,970503,37,031
279,1593,70,5,59,37031970504,310,970504,37,031
62,1011,21,6,23,37031970601,70,970601,37,031
28,1052,3,1,40,37031970602,284,970602,37,031
261,1157,84,10,41,37031970603,61,970603,37,031
83,3172,39,9,83,37031970606,651,970606,37,031
68,927,39,12,55,37031970701,12,970701,37,031
213,3069,151,30,182,37031970702,397,970702,37,031
297,3835,470,26,266,37031970703,11312,970703,37,031
76,1973,35,14,114,37031970704,162,970704,37,031
98,2692,60,1,127,37031970801,161,970801,37,031
146,3508,137,10,124,37031970804,169,970804,37,031
77,1441,43,10,109,37031970805,120,970805,37,031
150,3325,29,11,160,37031970806,461,970806,37,031
29,1016,3,1,33,37031970903,60,970903,37,031
94,2529,10,3,71,37031970904,202,970904,37,031
21,1701,4,2,36,37031971003,100,971003,37,031
42,1311,6,0,34,37031971103,20,971103,37,031
0,0,0,0,0,37031980100,00,980100,37,031
0,0,0,0,0,37031990100,00,990100,37,031
0,0,0,0,0,37031990200,00,990200,37,031
59,1159,1005,6,56,37033930100,30,930100,37,033
201,2571,2518,24,142,37033930200,365,930200,37,033
198,2772,636,8,123,37033930300,175,930300,37,033
110,1607,769,0,64,37033930400,41,930400,37,033
227,2519,791,12,106,37033930500,02,930500,37,033
207,3408,1085,15,149,37033930600,10,930600,37,033
316,4979,197,8,221,37035010101,4000,010101,37,035
240,3530,209,8,150,37035010102,1631,010102,37,035
578,3277,179,6,213,37035010201,4741,010201,37,035
312,2255,108,11,121,37035010203,3831,010203,37,035
953,3095,550,11,226,37035010204,3041,010204,37,035
767,3787,99,3,232,37035010301,1472,010301,37,035
373,4804,273,13,201,37035010302,2280,010302,37,035
949,2761,136,7,184,37035010303,1930,010303,37,035
1482,2047,421,11,162,37035010304,2471,010304,37,035
853,3053,776,31,225,37035010402,1122,010402,37,035
777,3564,640,9,238,37035010403,2800,010403,37,035
257,1793,261,1,115,37035010404,962,010404,37,035
334,3211,312,8,158,37035010501,586,010501,37,035
190,2957,96,7,119,37035010502,1280,010502,37,035
710,4570,807,16,315,37035010600,1987,010600,37,035
516,1466,376,11,135,37035010700,1330,010700,37,035
570,992,1726,10,180,37035010900,931,010900,37,035
726,1031,449,6,88,37035011000,1093,011000,37,035
337,2501,331,7,145,37035011101,24119,011101,37,035
581,5337,508,32,300,37035011102,5518,011102,37,035
1013,3837,660,7,218,37035011200,1850,011200,37,035
1234,4474,879,33,350,37035011300,4733,011300,37,035
366,2516,313,5,92,37035011401,1950,011401,37,035
242,3349,163,6,99,37035011402,1130,011402,37,035
219,4382,265,14,175,37035011501,690,011501,37,035
112,3459,95,10,125,37035011503,112,011503,37,035
126,3223,117,13,142,37035011505,344,011505,37,035
126,2859,66,1,87,37035011506,160,011506,37,035
525,3135,273,2,177,37035011601,2681,011601,37,035
384,4639,173,10,231,37035011602,461,011602,37,035
253,3398,203,13,153,37035011701,2153,011701,37,035
429,5608,499,7,306,37035011702,3231,011702,37,035
262,5181,247,20,219,37035011801,2710,011801,37,035
265,5050,221,22,162,37035011802,1808,011802,37,035
1199,3470,384,5,171,37037020103,2501,020103,37,037
403,5039,242,13,185,37037020104,1643,020104,37,037
476,6312,350,29,402,37037020105,3126,020105,37,037
134,2170,148,6,115,37037020107,383,020107,37,037
142,1449,241,7,65,37037020108,270,020108,37,037
327,2340,201,10,98,37037020201,110,020201,37,037
139,2873,169,11,137,37037020202,331,020202,37,037
140,1737,395,9,101,37037020203,100,020203,37,037
388,1802,440,7,74,37037020300,141,020300,37,037
2716,1872,1013,5,127,37037020401,482,020401,37,037
2421,1023,938,0,145,37037020402,440,020402,37,037
187,3028,229,8,125,37037020500,63,020500,37,037
314,3780,850,19,192,37037020600,140,020600,37,037
325,3364,379,20,172,37037020702,790,020702,37,037
128,3743,223,8,129,37037020703,2990,020703,37,037
112,2261,172,1,96,37037020704,1230,020704,37,037
321,3094,821,6,188,37037020801,530,020801,37,037
266,1947,334,5,140,37037020802,603,020802,37,037
234,1783,239,4,75,37037020803,311,020803,37,037
176,1885,42,34,135,37039930101,10,930101,37,039
53,1898,13,43,97,37039930102,220,930102,37,039
56,1995,20,32,116,37039930200,90,930200,37,039
38,2084,10,64,125,37039930300,50,930300,37,039
99,3489,21,92,198,37039930401,170,930401,37,039
66,1797,141,30,148,37039930402,390,930402,37,039
79,1796,26,11,75,37039930501,100,930501,37,039
142,3127,47,23,200,37039930502,310,930502,37,039
40,1721,8,17,74,37039930603,80,930603,37,039
